Domain Pair,Fusion Title,Perks,Unlocks
"Craft + {'title': 'Ironhand', 'perks': ['Higher chance to craft items 1 tier higher', 'Adds hidden traits to crafted gear', 'Can craft without tools'], 'unlocks': ['Quest: The Singing Steel']}",Ironhand,Higher chance to craft items 1 tier higher; Adds hidden traits to crafted gear; Can craft without tools,Quest: The Singing Steel
"Mind + {'title': 'Sightweaver', 'perks': ['Predict enemy actions', 'Expose weaknesses mid-combat', 'Tactical advantage in mass battles'], 'unlocks': ['Skill: Combat Simulation']}",Sightweaver,Predict enemy actions; Expose weaknesses mid-combat; Tactical advantage in mass battles,Skill: Combat Simulation
"Spirit + {'title': 'Silverheart', 'perks': ['Auto-succeed on emotional persuasion once per day', 'Sense and influence emotional states', 'Link minds briefly with allies or NPCs'], 'unlocks': ['Trait: Empathic Link']}",Silverheart,Auto-succeed on emotional persuasion once per day; Sense and influence emotional states; Link minds briefly with allies or NPCs,Trait: Empathic Link
"Authority + {'title': 'Architect of Order', 'perks': ['Structures gain morale and defense traits', 'Boosts building output in managed zones', 'Unlocks civic edict bonuses'], 'unlocks': ['Skill: Civic Blueprinting']}",Architect of Order,Structures gain morale and defense traits; Boosts building output in managed zones; Unlocks civic edict bonuses,Skill: Civic Blueprinting
"Mind + {'title': 'Technomage', 'perks': ['Create hybrid magical devices', 'Unlocks magical engineering systems', 'Can enchant during crafting'], 'unlocks': ['Workshop: Arcano-Forge']}",Technomage,Create hybrid magical devices; Unlocks magical engineering systems; Can enchant during crafting,Workshop: Arcano-Forge
"Awareness + {'title': 'Veilblade', 'perks': ['Infiltration scenes allow extra options', 'Can read deception or motive once per day', 'Unlocks stealth-based diplomacy'], 'unlocks': ['Mission Type: Shadow Envoy']}",Veilblade,Infiltration scenes allow extra options; Can read deception or motive once per day; Unlocks stealth-based diplomacy,Mission Type: Shadow Envoy
"Authority + {'title': 'Theocrat', 'perks': ['Issue divine edicts', 'Followers gain morale through faith', 'Bless regions with spiritual influence'], 'unlocks': ['Decree: Divine Mandate']}",Theocrat,Issue divine edicts; Followers gain morale through faith; Bless regions with spiritual influence,Decree: Divine Mandate
"Body + {'title': 'Flowfighter', 'perks': ['Perfect dodge chance under certain conditions', 'Enhanced reaction time in physical combat', 'Can counter mid-action'], 'unlocks': ['Technique: Reactive Pulse']}",Flowfighter,Perfect dodge chance under certain conditions; Enhanced reaction time in physical combat; Can counter mid-action,Technique: Reactive Pulse
"Mind + {'title': 'Schemer', 'perks': ['Manipulate faction dynamics', 'Uncover hidden agendas or secrets', 'Mastermind long-term social plots'], 'unlocks': ['Perk: Political Web']}",Schemer,Manipulate faction dynamics; Uncover hidden agendas or secrets; Mastermind long-term social plots,Perk: Political Web
"Spirit + {'title': 'Dreamsage', 'perks': ['Can interpret visions or prophecies', 'Unlocks dreamwalking mechanics', 'Access alternate memory layers'], 'unlocks': ['Ability: Dreamgate']}",Dreamsage,Can interpret visions or prophecies; Unlocks dreamwalking mechanics; Access alternate memory layers,Ability: Dreamgate
"Craft + {'title': 'Precision Maker', 'perks': ['Crit bonuses on crafted tools and weapons', 'Can auto-correct crafting mistakes mid-process', 'Tools made have better synergy with user'], 'unlocks': ['Item Trait: Artisan Edge']}",Precision Maker,Crit bonuses on crafted tools and weapons; Can auto-correct crafting mistakes mid-process; Tools made have better synergy with user,Item Trait: Artisan Edge
"Social + {'title': 'Voice of the People', 'perks': ['Easier time passing policies via persuasion', 'Boost crowd morale in public speeches', 'Unlocks rally and festival bonuses'], 'unlocks': [""Civic Event: People's Assembly""]}",Voice of the People,Easier time passing policies via persuasion; Boost crowd morale in public speeches; Unlocks rally and festival bonuses,Civic Event: People's Assembly
"Spirit + {'title': 'Ghostwatcher', 'perks': ['Sense spiritual disturbances or presences', 'Perceive hidden curses or blessings', 'Interact with intangible entities'], 'unlocks': ['Event Type: Spirit Encounter']}",Ghostwatcher,Sense spiritual disturbances or presences; Perceive hidden curses or blessings; Interact with intangible entities,Event Type: Spirit Encounter
"Mind + {'title': 'Strategist', 'perks': ['Unlock war-table planning options', 'Predict enemy politics and troop moves', 'Reduce chaos during policy changes'], 'unlocks': ['Structure: Command Chamber']}",Strategist,Unlock war-table planning options; Predict enemy politics and troop moves; Reduce chaos during policy changes,Structure: Command Chamber
"Body + {'title': 'Ascetic', 'perks': ['Reduce hunger/thirst penalties', 'Immune to panic/fear auras', 'Can channel inner energy to heal slightly'], 'unlocks': ['Meditation: Flow Rebirth']}",Ascetic,Reduce hunger/thirst penalties; Immune to panic/fear auras; Can channel inner energy to heal slightly,Meditation: Flow Rebirth
